21,Column1,Column2,Column3
37,-0.053287,0.032778,0.961912
53,-0.048404,0.036684,0.959836
68,-0.051578,0.041567,0.956784
84,-0.045108,0.04816,0.954465
99,-0.042788,0.047916,0.953488
115,-0.046451,0.038882,0.949948
131,-0.050357,0.032656,0.953366
146,-0.047305,0.030458,0.956784
162,-0.049136,0.028017,0.951291
178,-0.046817,0.032534,0.953366
193,-0.049625,0.033266,0.952023
209,-0.047549,0.041201,0.949216
225,-0.044009,0.041323,0.951657
240,-0.044864,0.044253,0.952756
256,-0.0423,0.03998,0.948972
271,-0.043887,0.043154,0.94592
287,-0.044619,0.046695,0.947018
303,-0.042666,0.054019,0.944088
319,-0.042544,0.056095,0.938107
334,-0.040225,0.058048,0.939938
350,-0.043643,0.061954,0.938961
365,-0.042422,0.055118,0.933956
381,-0.045474,0.055851,0.941403
396,-0.048282,0.05878,0.943356
412,-0.0611,0.051578,0.946164
428,-0.064518,0.046939,0.930294
443,-0.054996,0.047916,0.937374
459,-0.063786,0.04938,0.950314
475,-0.064762,0.042544,0.975218
490,-0.062931,0.045108,0.973631
506,-0.062809,0.043032,0.969969
522,-0.05524,0.037783,0.967161
537,-0.047549,0.039858,0.964353
553,-0.052188,0.033388,0.958738
568,-0.053043,0.022401,0.96301
584,-0.051822,0.039004,0.954831
600,-0.051456,0.044009,0.958616
615,-0.052188,0.03229,0.950681
631,-0.047183,0.033144,0.940914
646,-0.039126,0.041323,0.941647
662,-0.04584,0.050967,0.929195
678,-0.033632,0.041567,0.930171
693,-0.027773,0.053165,0.937862
709,-0.027162,0.056095,0.931148
725,-0.039004,0.030703,0.917109
740,-0.035097,0.028871,0.934078
756,-0.037539,0.031191,0.95007
771,-0.043521,0.007996,0.949826
787,-0.036196,-0.015199,0.959714
803,-0.045596,-0.005432,0.986083
818,-0.02643,0.007264,0.996094
834,-0.040103,0.006775,0.977416
850,-0.041568,0.009949,0.97473
865,-0.048404,0.03998,0.97241
881,-0.033388,0.044864,0.970457
896,-0.051456,0.055851,0.957883
912,-0.073674,0.052066,0.950436
928,-0.055728,0.064152,0.957761
943,-0.053287,0.064884,0.948361
959,-0.070134,0.06403,0.943478
974,-0.06989,0.080266,0.95007
990,-0.08344,0.087713,0.947507
1006,-0.087591,0.073674,0.931148
1021,-0.086858,0.069279,0.925777
1037,-0.087835,0.082708,0.932247
1053,-0.083684,0.106025,0.921138
1068,-0.06464,0.108344,0.918818
1084,-0.046573,0.097967,0.921382
1099,-0.022035,0.085271,0.920039
1115,-0.020082,0.060367,0.928462
1131,-0.018617,0.039126,0.93652
1146,-0.013123,0.037661,0.947873
1162,-0.013368,0.027162,0.943966
1178,-0.039492,-0.004212,0.955442
1193,-0.04816,-0.00177,0.969114
1209,-0.043887,0.018861,0.992919
1224,-0.031191,0.030581,0.994018
1240,-0.03583,0.009339,0.995971
1256,-0.040835,0.001526,0.992919
1271,-0.042178,0.016786,0.983642
1287,-0.050357,0.027651,0.979003
1303,-0.032778,0.029726,0.976317
1318,-0.022523,0.028139,0.969358
1334,-0.035219,0.041323,0.967039
1350,-0.033632,0.039004,0.967283
1365,-0.026308,0.03998,0.953855
1381,-0.023744,0.043154,0.947384
1396,-0.031923,0.044253,0.939571
1412,-0.025575,0.048892,0.944699
1428,-0.032778,0.048526,0.941525
1443,-0.019227,0.05463,0.933834
1459,-0.012879,0.033999,0.920039
1474,-0.015565,0.040103,0.938595
1490,-0.027651,0.052188,0.955442
1506,-0.008973,0.054752,0.942623
1521,0.007386,0.024599,0.939327
1537,0.000427,0.0423,0.944821
1553,-0.011414,0.048648,0.959226
1568,-0.004212,0.034243,0.952145
